City Rank,City,State,2020 census,2010 census,2020 land area sq mi,2016 land area km2,2020 pop density sq mi,2016 pop desity km2,longitude,latitude
2020rank,,,,,,,,,,
1,New York,New York,8804190,8175133,300.5,778.3,29298,11312,40.66N,73.93W
2,Los Angeles,California,3898747,3792621,469.5,1216.0,8304,3206,34.01N,118.41W
3,Chicago,Illinois,2746388,2695598,227.7,589.7,12061,4657,41.83N,87.68W
4,Houston,Texas,2304580,2099451,640.4,1658.6,3599,1390,29.78N,95.39W
5,Phoenix,Arizona,1608139,1445632,518.0,1341.6,3105,1199,33.57N,112.09W
6,Philadelphia,Pennsylvania,1603797,1526006,134.4,348.1,11933,4607,40.00N,75.13W
7,San Antonio,Texas,1434625,1327407,498.8,1291.9,2876,1110,29.47N,98.52W
8,San Diego,California,1386932,1307402,325.9,844.1,4256,1643,32.81N,117.13W
9,Dallas,Texas,1304379,1197816,339.6,879.6,3841,1483,32.79N,96.76W
10,San Jose,California,1013240,945942,178.3,461.8,5683,2194,37.29N,121.81W
11,Austin,Texas,961855,790390,319.9,828.5,3007,1161,30.30N,97.75W
12,Jacksonville,Florida,949611,821784,747.3,1935.5,1271,491,30.33N,81.66W
13,Fort Worth,Texas,918915,741206,342.9,888.1,2646,1022,32.78N,97.34W
14,Columbus,Ohio,905748,787033,220.0,569.8,4117,1590,39.98N,82.98W
15,Indianapolis,Indiana,887642,820445,361.6,936.5,2455,948,39.77N,86.14W
16,Charlotte,North Carolina,874579,731424,308.3,798.5,2837,1095,35.20N,80.83W
17,San Francisco,California,873965,805235,46.9,121.5,18635,7195,37.72N,123.03W
18,Seattle,Washington,737015,608660,83.8,217.0,8795,3396,47.62N,122.35W
19,Denver,Colorado,715522,600158,153.1,396.5,4674,1805,39.76N,104.88W
20,Washington,District of Columbia,689545,601723,61.1,158.2,11286,4358,38.90N,77.01W
21,Nashville,Tennessee,689447,601222,475.8,1232.3,1449,559,36.17N,86.78W
22,Oklahoma City,Oklahoma,681054,579999,606.2,1570.1,1123,434,35.46N,97.51W
23,El Paso,Texas,678815,649121,258.4,669.3,2627,1014,31.84N,106.42W
24,Boston,Massachusetts,675647,617594,48.3,125.1,13989,5401,42.33N,71.02W
25,Portland,Oregon,652503,583776,133.5,345.8,4888,1887,45.53N,122.65W
26,Las Vegas,Nevada,641903,583756,141.8,367.3,4527,1748,36.22N,115.26W
27,Detroit,Michigan,639111,713777,138.7,359.2,4608,1779,42.38N,83.10W
28,Memphis,Tennessee,633104,646889,297.0,769.2,2132,823,35.10N,89.97W
29,Louisville,Kentucky,633045,597337,263.5,682.5,2402,927,38.16N,85.64W
30,Baltimore,Maryland,585708,620961,80.9,209.5,7240,2800,39.30N,76.61W
31,Milwaukee,Wisconsin,577222,594833,96.2,249.2,6000,2300,43.06N,87.96W
32,Albuquerque,New Mexico,564559,545852,187.3,485.1,3014,1164,35.10N,106.64W
33,Tucson,Arizona,542629,520116,241.0,624.2,2252,870,32.15N,110.87W
34,Fresno,California,542107,494665,115.2,298.4,4706,1817,36.78N,119.79W
35,Sacramento,California,524943,466488,98.6,255.4,5324,2056,38.56N,121.46W
36,Kansas City,Missouri,508090,459787,314.7,815.1,1615,624,39.12N,94.55W
37,Mesa,Arizona,504258,439041,138.7,359.2,3636,1404,33.40N,111.71W
38,Atlanta,Georgia,498715,420003,135.3,350.4,3686,1423,33.76N,84.42W
39,Omaha,Nebraska,486051,408958,133.2,345.0,3433,1325,41.26N,96.04W
40,Colorado Springs,Colorado,478961,416427,195.4,506.1,2451,946,38.86N,104.76W
41,Raleigh,North Carolina,467665,403892,145.1,375.8,3179,1227,35.83N,78.64W
42,Long Beach,California,466742,462257,50.7,131.3,9206,3554,33.80N,118.15W
43,Virginia Beach,Virginia,459470,437994,244.7,633.8,1878,725,36.78N,76.02W
44,Miami,Florida,442241,399457,36.0,93.2,12284,4743,25.77N,80.20W
45,Oakland,California,440646,390724,55.9,144.8,7883,3044,37.76N,122.22W
46,Minneapolis,Minnesota,429954,382578,54.0,139.9,7962,3074,44.96N,93.26W
47,Tulsa,Oklahoma,413066,391906,197.5,511.5,2091,807,36.12N,95.90W
48,Bakersfield,California,403455,347483,149.8,388.0,2693,1040,35.32N,119.01W
49,Wichita,Kansas,397532,382368,162.0,419.6,2454,947,37.69N,97.34W
50,Arlington,Texas,394266,365438,95.9,248.4,4111,1587,32.70N,97.12W
51,Aurora,Colorado,386261,325078,160.1,414.7,2413,932,39.68N,104.68W
52,Tampa,Florida,384959,335709,114.0,295.3,3377,1304,27.97N,82.47W
53,New Orleans,Louisiana,383997,343829,169.5,439.0,2265,875,30.05N,89.93W
54,Cleveland,Ohio,372624,396815,77.7,201.2,4796,1852,41.47N,81.67W
55,Honolulu,Hawaii,350964,337256,60.5,156.7,5801,2240,21.32N,157.84W
56,Anaheim,California,346824,336265,50.3,130.3,6895,2662,33.85N,117.76W
57,Lexington,Kentucky,322570,295803,283.6,734.5,1137,439,38.04N,84.45W
58,Stockton,California,320804,291707,62.2,161.1,5158,1992,37.97N,121.31W
59,Corpus Christi,Texas,317863,305215,162.2,420.1,1960,760,27.75N,97.17W
60,Henderson,Nevada,317610,257729,106.2,275.1,2991,1155,36.00N,115.03W
61,Riverside,California,314998,303871,81.2,210.3,3879,1498,33.93N,117.39W
62,Newark,New Jersey,311549,277140,24.1,62.4,12927,4991,40.72N,74.17W
63,Saint Paul,Minnesota,311527,285068,52.0,134.7,5991,2313,44.94N,93.10W
64,Santa Ana,California,310227,324528,27.3,70.7,11364,4388,33.73N,117.88W
65,Cincinnati,Ohio,309317,296943,77.8,201.5,3976,1535,39.14N,84.50W
66,Irvine,California,307670,212375,65.6,169.9,4690,1810,33.67N,117.77W
67,Orlando,Florida,307573,238300,110.6,286.5,2781,1074,28.41N,81.27W
68,Pittsburgh,Pennsylvania,302971,305704,55.4,143.5,5469,2112,40.43N,79.97W
69,St. Louis,Missouri,301578,319294,61.7,159.8,4888,1887,38.63N,90.24W
70,Greensboro,North Carolina,299035,269666,129.6,335.7,2307,891,36.09N,79.82W
71,Jersey City,New Jersey,292449,247597,14.7,38.1,19894,7681,40.71N,74.06W
72,Anchorage,Alaska,291247,291826,1706.8,4420.6,171,66,61.17N,149.28W
73,Lincoln,Nebraska,291082,258379,97.7,253.0,2979,1150,40.81N,96.68W
74,Plano,Texas,285494,259841,71.7,185.7,3982,1537,33.05N,96.74W
75,Durham,North Carolina,283506,228330,112.8,292.2,2513,970,35.98N,78.90W
76,Buffalo,New York,278349,261310,40.4,104.6,6890,2660,42.89N,78.85W
77,Chandler,Arizona,275987,236123,65.3,169.1,4226,1632,33.28N,111.85W
78,Chula Vista,California,275487,243916,49.6,128.5,5554,2144,32.62N,117.01W
79,Toledo,Ohio,270871,287208,80.5,208.5,3365,1299,41.66N,83.58W
80,Madison,Wisconsin,269840,233209,79.6,206.2,3390,1310,43.08N,89.42W
81,Gilbert,Arizona,267918,208453,68.6,177.7,3906,1508,33.31N,111.74W
82,Reno,Nevada,264165,225221,108.8,281.8,2428,937,39.54N,119.84W
83,Fort Wayne,Indiana,263886,253691,110.7,286.7,2384,920,41.08N,85.14W
84,North Las Vegas,Nevada,262527,216961,101.3,262.4,2592,1001,36.28N,115.09W
85,St. Petersburg,Florida,258308,244769,61.8,160.1,4180,1610,27.76N,82.64W
86,Lubbock,Texas,257141,229573,134.6,348.6,1910,740,33.56N,101.88W
87,Irving,Texas,256684,216290,67.0,173.5,3831,1479,32.85N,96.97W
88,Laredo,Texas,255205,236091,106.5,275.8,2396,925,27.56N,99.48W
89,WinstonSalem,North Carolina,249545,229617,132.7,343.7,1881,726,36.10N,80.26W
90,Chesapeake,Virginia,249422,222209,338.5,876.7,737,285,36.67N,76.30W
91,Glendale,Arizona,248325,226721,61.6,159.5,4031,1556,33.53N,112.18W
92,Garland,Texas,246018,226876,57.1,147.9,4309,1664,32.90N,96.63W
93,Scottsdale,Arizona,241361,217385,184.0,476.6,1312,507,33.68N,111.86W
94,Norfolk,Virginia,238005,242803,53.3,138.0,4465,1724,36.92N,76.24W
95,Boise,Idaho,235684,205671,84.0,217.6,2806,1083,43.60N,116.23W
96,Fremont,California,230504,214089,78.3,202.8,2944,1137,37.49N,121.94W
97,Spokane,Washington,228989,208916,68.8,178.2,3328,1285,47.66N,117.43W
98,Santa Clarita,California,228673,176320,70.8,183.4,3230,1250,34.40N,118.50W
99,Baton Rouge,Louisiana,227470,229493,86.3,223.5,2636,1018,30.44N,91.13W
100,Richmond,Virginia,226610,204214,59.9,155.1,3783,1461,37.53N,77.47W
101,Hialeah,Florida,223109,224669,21.6,55.9,10329,3988,25.86N,80.30W
102,San Bernardino,California,222101,209924,62.1,160.8,3577,1381,34.14N,117.29W
103,Tacoma,Washington,219346,198397,49.7,128.7,4413,1704,47.25N,122.45W
104,Modesto,California,218464,201165,43.0,111.4,5081,1962,37.63N,121.00W
105,Huntsville,Alabama,215006,180105,218.1,564.9,986,381,34.69N,86.67W
106,Des Moines,Iowa,214133,203433,88.2,228.4,2428,937,41.57N,93.61W
107,Yonkers,New York,211569,195976,18.0,46.6,11754,4538,40.94N,73.86W
108,Rochester,New York,211328,210565,35.8,92.7,5903,2279,43.16N,77.61W
109,Moreno Valley,California,208634,193365,51.3,132.9,4067,1570,33.92N,117.20W
110,Fayetteville,North Carolina,208501,200564,148.3,384.1,1406,543,35.08N,78.97W
111,Fontana,California,208393,196069,43.1,111.6,4835,1867,34.10N,117.46W
112,Columbus,Georgia,206922,189885,216.5,560.7,956,369,32.51N,84.87W
113,Worcester,Massachusetts,206518,181045,37.4,96.9,5522,2132,42.26N,71.80W
114,Port St. Lucie,Florida,204851,164603,119.2,308.7,1719,664,27.28N,80.38W
115,Little Rock,Arkansas,202591,193524,120.0,310.8,1688,652,34.72N,92.35W
116,Augusta,Georgia,202081,195844,302.3,783.0,668,258,33.36N,82.07W
117,Oxnard,California,202063,197899,26.5,68.6,7625,2944,34.20N,119.20W
118,Birmingham,Alabama,200733,212237,147.0,380.7,1366,527,33.52N,86.79W
119,Montgomery,Alabama,200603,205764,159.9,414.1,1255,485,32.34N,86.26W
120,Frisco,Texas,200509,116989,68.6,177.7,2923,1129,33.15N,96.82W
121,Amarillo,Texas,200393,190695,102.3,265.0,1959,756,35.19N,101.83W
122,Salt Lake City,Utah,199723,186440,110.3,285.7,1811,699,40.77N,111.93W
123,Grand Rapids,Michigan,198917,188040,44.8,116.0,4440,1710,42.96N,85.65W
